"Indicator","GeoAreaName","Time_Detail","Value","Units","Source","SeriesDescription","SeriesCode"
"3.4.1","World",2000,22.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2000,27.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2000,18.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2005,25.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2005,17.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2005,21.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2010,24.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2010,15.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2010,19.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2015,22.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2015,14.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2015,18.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2019,21.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
